"","T1","T2"
"1",16.58,16.33
"2",16.73,16.34
"3",16.93,16.35
"4",17.15,16.42
"5",17.23,16.55
"6",17.24,16.69
"7",17.24,16.71
"8",16.9,16.75
"9",16.95,16.81
"10",16.89,16.88
"11",16.95,16.89
"12",17,16.91
"13",16.9,16.85
"14",16.99,16.89
"15",16.99,16.89
"16",17.01,16.67
"17",17.04,16.5
"18",17.04,16.74
"19",17.14,16.77
"20",17.07,16.76
"21",16.98,16.78
"22",17.01,16.82
"23",16.97,16.89
"24",16.97,16.99
"25",17.12,16.92
"26",17.13,16.99
"27",17.14,16.89
"28",17.15,16.94
"29",17.17,16.92
"30",17.12,16.97
"31",17.12,16.91
"32",17.17,16.79
"33",17.28,16.77
"34",17.28,16.69
"35",17.44,16.62
"36",17.51,16.54
"37",17.64,16.55
"38",17.51,16.67
"39",17.98,16.69
"40",18.02,16.62
"41",18,16.64
"42",18.24,16.59
"43",18.1,16.65
"44",18.24,16.75
"45",18.11,16.8
"46",18.02,16.81
"47",18.11,16.87
"48",18.01,16.87
"49",17.91,16.89
"50",17.96,16.94
"51",18.03,16.98
"52",18.17,16.95
"53",18.19,17
"54",18.18,17.07
"55",18.15,17.05
"56",18.04,17
"57",17.96,16.95
"58",17.84,17
"59",17.83,16.94
"60",17.84,16.88
"61",17.74,16.93
"62",17.76,16.98
"63",17.76,16.97
"64",17.64,16.85
"65",17.63,16.92
"66",18.06,16.99
"67",18.19,17.01
"68",18.35,17.1
"69",18.25,17.09
"70",17.86,17.02
"71",17.95,16.96
"72",17.95,16.84
"73",17.76,16.87
"74",17.6,16.85
"75",17.89,16.85
"76",17.86,16.87
"77",17.71,16.89
"78",17.78,16.86
"79",17.82,16.91
"80",17.76,17.53
"81",17.81,17.23
"82",17.84,17.2
"83",18.01,17.25
"84",18.1,17.2
"85",18.15,17.21
"86",17.92,17.24
"87",17.64,17.1
"88",17.7,17.2
"89",17.46,17.18
"90",17.41,16.93
"91",17.46,16.83
"92",17.56,16.93
"93",17.55,16.83
"94",17.75,16.8
"95",17.76,16.75
"96",17.73,16.71
"97",17.77,16.73
"98",18.01,16.75
"99",18.04,16.72
"100",18.07,16.76
"101",NA,16.7
"102",NA,16.82
